24-10-10 23:19:37.740 [RMI TCP Connection(34)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested. 
24-10-10 23:19:37.743 [RMI TCP Connection(34)-127.0.0.1] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application CMS-POLICY-SERVICE with eureka with status DOWN 
24-10-10 23:19:37.744 [RMI TCP Connection(34)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1728582577744, current=DOWN, previous=UP] 
24-10-10 23:19:37.745 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_CMS-POLICY-SERVICE/DESKTOP-ORN7IN0:cms-policy-service:8082: registering service... 
24-10-10 23:19:37.767 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_CMS-POLICY-SERVICE/DESKTOP-ORN7IN0:cms-policy-service:8082 - registration status: 204 
24-10-10 23:19:37.886 [RMI TCP Connection(34)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default' 
24-10-10 23:19:37.886 [RMI TCP Connection(34)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown initiated... 
24-10-10 23:19:37.893 [RMI TCP Connection(34)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-4 - Shutdown completed. 
24-10-10 23:19:37.896 [RMI TCP Connection(34)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ... 
